location,iso_code,date,total_cases,total_deaths,new_cases,new_deaths,new_cases_smoothed,new_deaths_smoothed,new_cases_per_million,total_cases_per_million,new_cases_smoothed_per_million,new_deaths_per_million,total_deaths_per_million,new_deaths_smoothed_per_million
Switzerland,CHE,2022-10-10,517.0,0.0,0.0,0.0,0.57,0.0,0.0,59.484,0.066,0.0,0.0,0.0
Andorra,AND,2022-10-10,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.611,0.0,0.0,0.0,0.0
Slovenia,SVN,2022-10-10,47.0,0.0,0.0,0.0,0.0,0.0,0.0,22.176,0.0,0.0,0.0,0.0
Montenegro,MNE,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.185,0.0,0.0,0.0,0.0
South Africa,ZAF,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.0
Croatia,HRV,2022-10-10,29.0,0.0,0.0,0.0,0.0,0.0,0.0,7.143,0.0,0.0,0.0,0.0
Congo,COG,2022-10-10,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.857,0.0,0.0,0.0,0.0
Monaco,MCO,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,81.775,0.0,0.0,0.0,0.0
Spain,ESP,2022-10-10,7219.0,2.0,10.0,0.0,4.43,0.0,0.211,152.021,0.093,0.0,0.042,0.0
Moldova,MDA,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.0,0.0,0.0,0.0
Central African Republic,CAF,2022-10-10,10.0,0.0,0.0,0.0,0.14,0.0,0.0,1.832,0.026,0.0,0.0,0.0
Sweden,SWE,2022-10-10,198.0,0.0,0.0,0.0,0.43,0.0,0.0,18.916,0.041,0.0,0.0,0.0
Israel,ISR,2022-10-10,254.0,0.0,0.0,0.0,0.14,0.0,0.0,27.338,0.015,0.0,0.0,0.0
Denmark,DNK,2022-10-10,187.0,0.0,0.0,0.0,0.29,0.0,0.0,31.943,0.05,0.0,0.0,0.0
Gibraltar,GIB,2022-10-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,183.655,0.0,0.0,0.0,0.0
Ireland,IRL,2022-10-10,198.0,0.0,3.0,0.0,2.14,0.0,0.602,39.707,0.429,0.0,0.0,0.0
Greece,GRC,2022-10-10,82.0,0.0,0.0,0.0,0.14,0.0,0.0,7.85,0.013,0.0,0.0,0.0
United Kingdom,GBR,2022-10-10,3654.0,0.0,0.0,0.0,2.71,0.0,0.0,54.31,0.04,0.0,0.0,0.0
Belgium,BEL,2022-10-10,775.0,1.0,0.0,0.0,0.71,0.0,0.0,66.745,0.061,0.0,0.086,0.0
Poland,POL,2022-10-10,195.0,0.0,0.0,0.0,1.0,0.0,0.0,5.09,0.026,0.0,0.0,0.0
Ghana,GHA,2022-10-10,103.0,4.0,0.0,0.0,1.71,0.0,0.0,3.137,0.052,0.0,0.122,0.0
Greenland,GRL,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35.56,0.0,0.0,0.0,0.0
Malta,MLT,2022-10-10,33.0,0.0,0.0,0.0,0.0,0.0,0.0,62.649,0.0,0.0,0.0,0.0
Benin,BEN,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0
Germany,DEU,2022-10-10,3645.0,0.0,0.0,0.0,2.86,0.0,0.0,43.701,0.034,0.0,0.0,0.0
Norway,NOR,2022-10-10,92.0,0.0,0.0,0.0,0.0,0.0,0.0,17.028,0.0,0.0,0.0,0.0
Portugal,PRT,2022-10-10,930.0,0.0,0.0,0.0,0.57,0.0,0.0,90.378,0.055,0.0,0.0,0.0
Georgia,GEO,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0,0.0,0.0,0.0
France,FRA,2022-10-10,4043.0,0.0,0.0,0.0,6.29,0.0,0.0,59.966,0.093,0.0,0.0,0.0
Serbia,SRB,2022-10-10,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.821,0.0,0.0,0.0,0.0
Latvia,LVA,2022-10-10,6.0,0.0,0.0,0.0,0.14,0.0,0.0,3.202,0.075,0.0,0.0,0.0
Finland,FIN,2022-10-10,41.0,0.0,1.0,0.0,0.14,0.0,0.181,7.406,0.025,0.0,0.0,0.0
Hungary,HUN,2022-10-10,78.0,0.0,0.0,0.0,0.14,0.0,0.0,8.033,0.014,0.0,0.0,0.0
Nigeria,NGA,2022-10-10,400.0,7.0,0.0,0.0,0.0,0.0,0.0,1.874,0.0,0.0,0.033,0.0
Romania,ROU,2022-10-10,40.0,0.0,0.0,0.0,0.0,0.0,0.0,2.069,0.0,0.0,0.0,0.0
Estonia,EST,2022-10-10,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.279,0.0,0.0,0.0,0.0
Ukraine,UKR,2022-10-10,5.0,0.0,1.0,0.0,0.14,0.0,0.023,0.115,0.003,0.0,0.0,0.0
Liberia,LBR,2022-10-10,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0,0.0,0.0,0.0
Austria,AUT,2022-10-10,317.0,0.0,0.0,0.0,0.43,0.0,0.0,35.53,0.048,0.0,0.0,0.0
Turkey,TUR,2022-10-10,12.0,0.0,0.0,0.0,1.57,0.0,0.0,0.142,0.019,0.0,0.0,0.0
Russia,RUS,2022-10-10,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0
Iceland,ISL,2022-10-10,16.0,0.0,0.0,0.0,0.29,0.0,0.0,43.204,0.783,0.0,0.0,0.0
San Marino,SMR,2022-10-10,1.0,0.0,1.0,0.0,0.14,0.0,29.633,29.633,4.149,0.0,0.0,0.0
Bulgaria,BGR,2022-10-10,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.871,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,2022-10-10,6.0,0.0,0.0,0.0,0.14,0.0,0.0,1.834,0.043,0.0,0.0,0.0
